State,Population,County
Alabama,55242,Autauga
Alabama,207712,Baldwin
Alabama,25819,Barbour
Alabama,22576,Bibb
Alabama,57517,Blount
Alabama,10381,Bullock
Alabama,20029,Butler
Alabama,115018,Calhoun
Alabama,33771,Chambers
Alabama,25776,Cherokee
Alabama,43896,Chilton
Alabama,13049,Choctaw
Alabama,24349,Clarke
Alabama,13393,Clay
Alabama,14853,Cleburne
Alabama,51145,Coffee
Alabama,54367,Colbert
Alabama,12501,Conecuh
Alabama,10826,Coosa
Alabama,37382,Covington
Alabama,13922,Crenshaw
Alabama,82456,Cullman
Alabama,49301,Dale
Alabama,40092,Dallas
Alabama,71101,DeKalb
Alabama,81263,Elmore
Alabama,37488,Escambia
Alabama,102849,Etowah
Alabama,16555,Fayette
Alabama,31654,Franklin
Alabama,26498,Geneva
Alabama,8483,Greene
Alabama,14835,Hale
Alabama,17083,Henry
Alabama,104239,Houston
Alabama,52048,Jackson
Alabama,660326,Jefferson
Alabama,13927,Lamar
Alabama,92457,Lauderdale
Alabama,33233,Lawrence
Alabama,159297,Lee
Alabama,92841,Limestone
Alabama,10253,Lowndes
Alabama,19064,Macon
Alabama,356821,Madison
Alabama,19516,Marengo
Alabama,29964,Marion
Alabama,95123,Marshall
Alabama,415499,Mobile
Alabama,21545,Monroe
Alabama,227072,Montgomery
Alabama,118970,Morgan
Alabama,9528,Perry
Alabama,20309,Pickens
Alabama,33521,Pike
Alabama,22508,Randolph
Alabama,58208,Russell
Alabama,87323,St. Clair
Alabama,211430,Shelby
Alabama,12974,Sumter
Alabama,80468,Talladega
Alabama,40570,Tallapoosa
Alabama,206614,Tuscaloosa
Alabama,64548,Walker
Alabama,16610,Washington
Alabama,10851,Wilcox
Alabama,23906,Winston
Alaska,3388,Aleutians East
Alaska,5698,Aleutians West Census
Alaska,297216,Anchorage
Alaska,18019,Bethel Census
Alaska,903,Bristol Bay
Alaska,2039,Denali
Alaska,4970,Dillingham Census
Alaska,100683,Fairbanks North Star
Alaska,2527,Haines
Alaska,2128,Hoonah-Angoon Census
Alaska,32400,Juneau City and
Alaska,58452,Kenai Peninsula
Alaska,13714,Ketchikan Gateway
Alaska,13710,Kodiak Island
Alaska,8174,Kusilvak Census
Alaska,1598,Lake and Peninsula
Alaska,104157,Matanuska-Susitna
Alaska,9961,Nome Census
Alaska,9718,North Slope
Alaska,7689,Northwest Arctic
Alaska,3270,Petersburg
Alaska,6516,Prince of Wales-Hyder Census
Alaska,8738,Sitka City and
Alaska,1132,Skagway
Alaska,6849,Southeast Fairbanks Census
Alaska,9318,Valdez-Cordova Census
Alaska,2501,Wrangell City and
Alaska,613,Yakutat City and
Alaska,5423,Yukon-Koyukuk Census
Arizona,71403,Apache
Arizona,125782,Cochise
Arizona,140515,Coconino
Arizona,53404,Gila
Arizona,37823,Graham
Arizona,9651,Greenlee
Arizona,20661,La Paz
Arizona,4258603,Maricopa
Arizona,205521,Mohave
Arizona,108523,Navajo
Arizona,1017624,Pima
Arizona,417363,Pinal
Arizona,46468,Santa Cruz
Arizona,224591,Yavapai
Arizona,207520,Yuma
Arkansas,18145,Arkansas
Arkansas,20525,Ashley
Arkansas,41139,Baxter
Arkansas,259234,Benton
Arkansas,37260,Boone
Arkansas,10967,Bradley
Arkansas,5142,Calhoun
Arkansas,27753,Carroll
Arkansas,10892,Chicot
Arkansas,22600,Clark
Arkansas,15051,Clay
Arkansas,25174,Cleburne
Arkansas,8249,Cleveland
Arkansas,24049,Columbia
Arkansas,20871,Conway
Arkansas,105830,Craighead
Arkansas,62309,Crawford
Arkansas,49345,Crittenden
Arkansas,17024,Cross
Arkansas,7402,Dallas
Arkansas,11899,Desha
Arkansas,18552,Drew
Arkansas,122100,Faulkner
Arkansas,17669,Franklin
Arkansas,12096,Fulton
Arkansas,98311,Garland
Arkansas,18059,Grant
Arkansas,44730,Greene
Arkansas,22036,Hempstead
Arkansas,33419,Hot Spring
Arkansas,13366,Howard
Arkansas,37118,Independence
Arkansas,13486,Izard
Arkansas,17290,Jackson
Arkansas,70400,Jefferson
Arkansas,26150,Johnson
Arkansas,6893,Lafayette
Arkansas,16649,Lawrence
Arkansas,9340,Lee
Arkansas,13724,Lincoln
Arkansas,12421,Little River
Arkansas,21725,Logan
Arkansas,71819,Lonoke
Arkansas,16112,Madison
Arkansas,16378,Marion
Arkansas,43842,Miller
Arkansas,42879,Mississippi
Arkansas,7203,Monroe
Arkansas,8949,Montgomery
Arkansas,8380,Nevada
Arkansas,7860,Newton
Arkansas,24015,Ouachita
Arkansas,10274,Perry
Arkansas,19062,Phillips
Arkansas,10825,Pike
Arkansas,24007,Poinsett
Arkansas,20151,Polk
Arkansas,63876,Pope
Arkansas,8252,Prairie
Arkansas,394386,Pulaski
Arkansas,17427,Randolph
Arkansas,26344,St. Francis
Arkansas,117695,Saline
Arkansas,10313,Scott
Arkansas,7964,Searcy
Arkansas,127477,Sebastian
Arkansas,16980,Sevier
Arkansas,17014,Sharp
Arkansas,12498,Stone
Arkansas,39883,Union
Arkansas,16629,Van Buren
Arkansas,228438,Washington
Arkansas,78967,White
Arkansas,6616,Woodruff
Arkansas,21501,Yell
California,1650306,Alameda
California,1057,Alpine
California,37438,Amador
California,226529,Butte
California,45303,Calaveras
California,21553,Colusa
California,1137194,Contra Costa
California,27422,Del Norte
California,186082,El Dorado
California,977956,Fresno
California,27851,Glenn
California,136314,Humboldt
California,180268,Imperial
California,17996,Inyo
California,882361,Kern
California,149509,Kings
California,63884,Lake
California,30906,Lassen
California,10120540,Los Angeles
California,154160,Madera
California,260633,Marin
California,17455,Mariposa
California,87382,Mendocino
California,267971,Merced
California,8935,Modoc
California,14202,Mono
California,434767,Monterey
California,141185,Napa
California,98964,Nevada
California,3170707,Orange
California,379288,Placer
California,18772,Plumas
California,2382570,Riverside
California,1511510,Sacramento
California,59235,San Benito
California,2134174,San Bernardino
California,3310280,San Diego
California,872795,San Francisco
California,732185,San Joaquin
California,281958,San Luis Obispo
California,768204,San Mateo
California,444675,Santa Barbara
California,1929581,Santa Clara
California,274702,Santa Cruz
California,178581,Shasta
California,2957,Sierra
California,43479,Siskiyou
California,439300,Solano
California,503249,Sonoma
California,539542,Stanislaus
California,95898,Sutter
California,63352,Tehama
California,12830,Trinity
California,460023,Tulare
California,53704,Tuolumne
California,848921,Ventura
California,215530,Yolo
California,75002,Yuba
Colorado,498249,Adams
Colorado,16461,Alamosa
Colorado,638571,Arapahoe
Colorado,12832,Archuleta
Colorado,3528,Baca
Colorado,5645,Bent
Colorado,322527,Boulder
Colorado,66474,Broomfield
Colorado,19089,Chaffee
Colorado,1849,Cheyenne
Colorado,9356,Clear Creek
Colorado,8057,Conejos
Colorado,3696,Costilla
Colorado,5261,Crowley
Colorado,4593,Custer
Colorado,30356,Delta
Colorado,696618,Denver
Colorado,2056,Dolores
Colorado,328088,Douglas
Colorado,54579,Eagle
Colorado,25138,Elbert
Colorado,688687,El Paso
Colorado,46982,Fremont
Colorado,58847,Garfield
Colorado,5914,Gilpin
Colorado,15170,Grand
Colorado,16489,Gunnison
Colorado,788,Hinsdale
Colorado,6579,Huerfano
Colorado,1357,Jackson
Colorado,571779,Jefferson
Colorado,1342,Kiowa
Colorado,7625,Kit Carson
Colorado,7584,Lake
Colorado,55258,La Plata
Colorado,338926,Larimer
Colorado,14076,Las Animas
Colorado,5549,Lincoln
Colorado,21733,Logan
Colorado,149838,Mesa
Colorado,757,Mineral
Colorado,13143,Moffat
Colorado,25999,Montezuma
Colorado,41168,Montrose
Colorado,28143,Morgan
Colorado,18212,Otero
Colorado,4788,Ouray
Colorado,17362,Park
Colorado,4283,Phillips
Colorado,17967,Pitkin
Colorado,11967,Prowers
Colorado,164877,Pueblo
Colorado,6469,Rio Blanco
Colorado,11337,Rio Grande
Colorado,24787,Routt
Colorado,6406,Saguache
Colorado,689,San Juan
Colorado,8023,San Miguel
Colorado,2405,Sedgwick
Colorado,30676,Summit
Colorado,24036,Teller
Colorado,4836,Washington
Colorado,294965,Weld
Colorado,10080,Yuma
Connecticut,944802,Fairfield
Connecticut,894170,Hartford
Connecticut,182801,Litchfield
Connecticut,163152,Middlesex
Connecticut,857991,New Haven
Connecticut,268612,New London
Connecticut,151094,Tolland
Connecticut,116052,Windham
Delaware,174528,Kent
Delaware,555403,New Castle
Delaware,219285,Sussex
Florida,264287,Alachua
Florida,27872,Baker
Florida,183384,Bay
Florida,26736,Bradford
Florida,577338,Brevard
Florida,1912977,Broward
Florida,14334,Calhoun
Florida,177722,Charlotte
Florida,142850,Citrus
Florida,207247,Clay
Florida,365345,Collier
Florida,69217,Columbia
Florida,36261,DeSoto
Florida,16461,Dixie
Florida,925996,Duval
Florida,311537,Escambia
Florida,107351,Flagler
Florida,11830,Franklin
Florida,46051,Gadsden
Florida,17598,Gilchrist
Florida,13420,Glades
Florida,16061,Gulf
Florida,14309,Hamilton
Florida,27229,Hardee
Florida,40103,Hendry
Florida,182558,Hernando
Florida,102191,Highlands
Florida,1380991,Hillsborough
Florida,19389,Holmes
Florida,151248,Indian River
Florida,48337,Jackson
Florida,13938,Jefferson
Florida,8763,Lafayette
Florida,334748,Lake
Florida,722386,Lee
Florida,286977,Leon
Florida,39829,Levy
Florida,8302,Liberty
Florida,18299,Madison
Florida,375402,Manatee
Florida,347767,Marion
Florida,158426,Martin
Florida,2722574,Miami-Dade
Florida,76982,Monroe
Florida,80009,Nassau
Florida,200260,Okaloosa
Florida,40716,Okeechobee
Florida,1324843,Orange
Florida,337730,Osceola
Florida,1451384,Palm Beach
Florida,509929,Pasco
Florida,960737,Pinellas
Florida,666236,Polk
Florida,72378,Putnam
Florida,234996,St. Johns
Florida,305837,St. Lucie
Florida,169892,Santa Rosa
Florida,413027,Sarasota
Florida,455665,Seminole
Florida,121995,Sumter
Florida,43837,Suwannee
Florida,22115,Taylor
Florida,15252,Union
Florida,528747,Volusia
Florida,31893,Wakulla
Florida,65410,Walton
Florida,24471,Washington
Georgia,18424,Appling
Georgia,8252,Atkinson
Georgia,11301,Bacon
Georgia,3186,Baker
Georgia,45231,Baldwin
Georgia,18321,Banks
Georgia,76965,Barrow
Georgia,103340,Bartow
Georgia,17216,Ben Hill
Georgia,18972,Berrien
Georgia,153180,Bibb
Georgia,12856,Bleckley
Georgia,18376,Brantley
Georgia,15738,Brooks
Georgia,35836,Bryan
Georgia,74708,Bulloch
Georgia,22581,Burke
Georgia,23709,Butts
Georgia,6352,Calhoun
Georgia,52438,Camden
Georgia,10847,Candler
Georgia,116123,Carroll
Georgia,66294,Catoosa
Georgia,12838,Charlton
Georgia,288633,Chatham
Georgia,10088,Chattahoochee
Georgia,24826,Chattooga
Georgia,241912,Cherokee
Georgia,124894,Clarke
Georgia,3005,Clay
Georgia,279636,Clayton
Georgia,6761,Clinch
Georgia,748563,Cobb
Georgia,42929,Coffee
Georgia,45492,Colquitt
Georgia,147477,Columbia
Georgia,17159,Cook
Georgia,140419,Coweta
Georgia,12294,Crawford
Georgia,22893,Crisp
Georgia,16220,Dade
Georgia,23608,Dawson
Georgia,26683,Decatur
Georgia,747482,DeKalb
Georgia,20839,Dodge
Georgia,13848,Dooly
Georgia,90371,Dougherty
Georgia,141872,Douglas
Georgia,10292,Early
Georgia,3963,Echols
Georgia,58692,Effingham
Georgia,19143,Elbert
Georgia,22419,Emanuel
Georgia,10648,Evans
Georgia,25032,Fannin
Georgia,111336,Fayette
Georgia,96675,Floyd
Georgia,220311,Forsyth
Georgia,22292,Franklin
Georgia,1022714,Fulton
Georgia,29907,Gilmer
Georgia,2979,Glascock
Georgia,84241,Glynn
Georgia,56933,Gordon
Georgia,24844,Grady
Georgia,16896,Greene
Georgia,905277,Gwinnett
Georgia,44123,Habersham
Georgia,196523,Hall
Georgia,8631,Hancock
Georgia,28824,Haralson
Georgia,33632,Harris
Georgia,25497,Hart
Georgia,11576,Heard
Georgia,221188,Henry
Georgia,151690,Houston
Georgia,9317,Irwin
Georgia,65100,Jackson
Georgia,13769,Jasper
Georgia,14955,Jeff Davis
Georgia,15760,Jefferson
Georgia,8762,Jenkins
Georgia,9664,Johnson
Georgia,28577,Jones
Georgia,18500,Lamar
Georgia,10427,Lanier
Georgia,47302,Laurens
Georgia,29212,Lee
Georgia,61551,Liberty
Georgia,7856,Lincoln
Georgia,18347,Long
Georgia,114342,Lowndes
Georgia,31505,Lumpkin
Georgia,21467,McDuffie
Georgia,14058,McIntosh
Georgia,13487,Macon
Georgia,28821,Madison
Georgia,8465,Marion
Georgia,21076,Meriwether
Georgia,5873,Miller
Georgia,22466,Mitchell
Georgia,26935,Monroe
Georgia,8991,Montgomery
Georgia,18103,Morgan
Georgia,39375,Murray
Georgia,196198,Muscogee
Georgia,106600,Newton
Georgia,36871,Oconee
Georgia,14710,Oglethorpe
Georgia,155364,Paulding
Georgia,26775,Peach
Georgia,30661,Pickens
Georgia,19109,Pierce
Georgia,17888,Pike
Georgia,41625,Polk
Georgia,11290,Pulaski
Georgia,21527,Putnam
Georgia,2326,Quitman
Georgia,16471,Rabun
Georgia,7154,Randolph
Georgia,201801,Richmond
Georgia,89021,Rockdale
Georgia,5173,Schley
Georgia,14000,Screven
Georgia,8424,Seminole
Georgia,64570,Spalding
Georgia,25664,Stephens
Georgia,6015,Stewart
Georgia,30356,Sumter
Georgia,6354,Talbot
Georgia,1613,Taliaferro
Georgia,25295,Tattnall
Georgia,8188,Taylor
Georgia,15913,Telfair
Georgia,8865,Terrell
Georgia,44968,Thomas
Georgia,40552,Tift
Georgia,27144,Toombs
Georgia,11407,Towns
Georgia,6704,Treutlen
Georgia,69924,Troup
Georgia,7941,Turner
Georgia,8245,Twiggs
Georgia,22671,Union
Georgia,26255,Upson
Georgia,68452,Walker
Georgia,89873,Walton
Georgia,35704,Ware
Georgia,5349,Warren
Georgia,20341,Washington
Georgia,29953,Wayne
Georgia,2615,Webster
Georgia,7999,Wheeler
Georgia,28824,White
Georgia,104308,Whitfield
Georgia,8835,Wilcox
Georgia,9810,Wilkes
Georgia,9020,Wilkinson
Georgia,20719,Worth
Hawaii,198126,Hawaii
Hawaii,992692,Honolulu
Hawaii,88,Kalawao
Hawaii,71575,Kauai
Hawaii,165624,Maui
Idaho,444824,Ada
Idaho,3940,Adams
Idaho,84794,Bannock
Idaho,5926,Bear Lake
Idaho,9015,Benewah
Idaho,45318,Bingham
Idaho,21987,Blaine
Idaho,7084,Boise
Idaho,42333,Bonner
Idaho,112249,Bonneville
Idaho,11652,Boundary
Idaho,2574,Butte
Idaho,1083,Camas
Idaho,211370,Canyon
Idaho,6901,Caribou
Idaho,23494,Cassia
Idaho,871,Clark
Idaho,8652,Clearwater
Idaho,4083,Custer
Idaho,26084,Elmore
Idaho,13318,Franklin
Idaho,12916,Fremont
Idaho,16958,Gem
Idaho,15166,Gooding
Idaho,16230,Idaho
Idaho,27841,Jefferson
Idaho,23425,Jerome
Idaho,153103,Kootenai
Idaho,39038,Latah
Idaho,7709,Lemhi
Idaho,3854,Lewis
Idaho,5275,Lincoln
Idaho,38960,Madison
Idaho,20654,Minidoka
Idaho,40160,Nez Perce
Idaho,4303,Oneida
Idaho,11369,Owyhee
Idaho,22901,Payette
Idaho,7712,Power
Idaho,12430,Shoshone
Idaho,11152,Teton
Idaho,83747,Twin Falls
Idaho,10431,Valley
Idaho,10044,Washington
Illinois,66521,Adams
Illinois,6457,Alexander
Illinois,16541,Bond
Illinois,53594,Boone
Illinois,6627,Brown
Illinois,33391,Bureau
Illinois,4866,Calhoun
Illinois,14593,Carroll
Illinois,12667,Cass
Illinois,209961,Champaign
Illinois,33214,Christian
Illinois,15860,Clark
Illinois,13315,Clay
Illinois,37592,Clinton
Illinois,51767,Coles
Illinois,5228455,Cook
Illinois,19136,Crawford
Illinois,10868,Cumberland
Illinois,103984,DeKalb
Illinois,16133,De Witt
Illinois,19720,Douglas
Illinois,931680,DuPage
Illinois,17518,Edgar
Illinois,6535,Edwards
Illinois,34186,Effingham
Illinois,21566,Fayette
Illinois,13346,Ford
Illinois,39093,Franklin
Illinois,35455,Fulton
Illinois,5157,Gallatin
Illinois,13119,Greene
Illinois,50306,Grundy
Illinois,8186,Hamilton
Illinois,18203,Hancock
Illinois,3988,Hardin
Illinois,6886,Henderson
Illinois,49511,Henry
Illinois,28168,Iroquois
Illinois,58776,Jackson
Illinois,9576,Jasper
Illinois,38247,Jefferson
Illinois,21906,Jersey
Illinois,21842,Jo Daviess
Illinois,12457,Johnson
Illinois,531463,Kane
Illinois,111074,Kankakee
Illinois,124592,Kendall
Illinois,50938,Knox
Illinois,704644,Lake
Illinois,110203,LaSalle
Illinois,16167,Lawrence
Illinois,34482,Lee
Illinois,36100,Livingston
Illinois,29153,Logan
Illinois,30875,McDonough
Illinois,307296,McHenry
Illinois,173140,McLean
Illinois,106430,Macon
Illinois,45689,Macoupin
Illinois,265733,Madison
Illinois,38055,Marion
Illinois,11875,Marshall
Illinois,13673,Mason
Illinois,14439,Massac
Illinois,12399,Menard
Illinois,15599,Mercer
Illinois,33908,Monroe
Illinois,29056,Montgomery
Illinois,34616,Morgan
Illinois,14603,Moultrie
Illinois,51162,Ogle
Illinois,185073,Peoria
Illinois,21391,Perry
Illinois,16526,Piatt
Illinois,15738,Pike
Illinois,4179,Pope
Illinois,5602,Pulaski
Illinois,5714,Putnam
Illinois,32416,Randolph
Illinois,15822,Richland
Illinois,145230,Rock Island
Illinois,263102,St. Clair
Illinois,24230,Saline
Illinois,198004,Sangamon
Illinois,7029,Schuyler
Illinois,5048,Scott
Illinois,21738,Shelby
Illinois,5509,Stark
Illinois,45497,Stephenson
Illinois,133887,Tazewell
Illinois,17112,Union
Illinois,78494,Vermilion
Illinois,11542,Wabash
Illinois,17303,Warren
Illinois,14178,Washington
Illinois,16549,Wayne
Illinois,14070,White
Illinois,56472,Whiteside
Illinois,688648,Will
Illinois,67480,Williamson
Illinois,286054,Winnebago
Illinois,38925,Woodford
Indiana,35192,Adams
Indiana,369778,Allen
Indiana,82313,Bartholomew
Indiana,8656,Benton
Indiana,12105,Blackford
Indiana,64168,Boone
Indiana,15000,Brown
Indiana,19960,Carroll
Indiana,37953,Cass
Indiana,115598,Clark
Indiana,26200,Clay
Indiana,32198,Clinton
Indiana,10582,Crawford
Indiana,32972,Daviess
Indiana,49434,Dearborn
Indiana,26562,Decatur
Indiana,42612,DeKalb
Indiana,115676,Delaware
Indiana,42421,Dubois
Indiana,203652,Elkhart
Indiana,23257,Fayette
Indiana,76697,Floyd
Indiana,16449,Fountain
Indiana,22804,Franklin
Indiana,20110,Fulton
Indiana,33562,Gibson
Indiana,66680,Grant
Indiana,32229,Greene
Indiana,315990,Hamilton
Indiana,73728,Hancock
Indiana,39666,Harrison
Indiana,160369,Hendricks
Indiana,48348,Henry
Indiana,82317,Howard
Indiana,36288,Huntington
Indiana,44004,Jackson
Indiana,33416,Jasper
Indiana,21023,Jay
Indiana,32230,Jefferson
Indiana,27642,Jennings
Indiana,151575,Johnson
Indiana,37331,Knox
Indiana,78742,Kosciusko
Indiana,39109,LaGrange
Indiana,486199,Lake
Indiana,110254,LaPorte
Indiana,45588,Lawrence
Indiana,129297,Madison
Indiana,944139,Marion
Indiana,46600,Marshall
Indiana,10191,Martin
Indiana,36041,Miami
Indiana,145748,Monroe
Indiana,38249,Montgomery
Indiana,69628,Morgan
Indiana,13985,Newton
Indiana,47426,Noble
Indiana,5892,Ohio
Indiana,19460,Orange
Indiana,20901,Owen
Indiana,16939,Parke
Indiana,18977,Perry
Indiana,12398,Pike
Indiana,167522,Porter
Indiana,25634,Posey
Indiana,12598,Pulaski
Indiana,37251,Putnam
Indiana,25110,Randolph
Indiana,28398,Ripley
Indiana,16642,Rush
Indiana,269484,St. Joseph
Indiana,23699,Scott
Indiana,44259,Shelby
Indiana,20491,Spencer
Indiana,23015,Starke
Indiana,34354,Steuben
Indiana,20709,Sullivan
Indiana,10615,Switzerland
Indiana,190504,Tippecanoe
Indiana,15167,Tipton
Indiana,7140,Union
Indiana,181306,Vanderburgh
Indiana,15586,Vermillion
Indiana,107851,Vigo
Indiana,31504,Wabash
Indiana,8164,Warren
Indiana,62066,Warrick
Indiana,27734,Washington
Indiana,66609,Wayne
Indiana,27854,Wells
Indiana,24075,White
Indiana,33493,Whitley
Iowa,6998,Adair
Iowa,3692,Adams
Iowa,13850,Allamakee
Iowa,12505,Appanoose
Iowa,5629,Audubon
Iowa,25633,Benton
Iowa,133116,Black Hawk
Iowa,26426,Boone
Iowa,24737,Bremer
Iowa,21018,Buchanan
Iowa,20322,Buena Vista
Iowa,14705,Butler
Iowa,9808,Calhoun
Iowa,20377,Carroll
Iowa,13161,Cass
Iowa,18410,Cedar
